Date,Total_Crashes
12/21/2019,139
12/22/2019,112
12/23/2019,183
12/24/2019,110
12/25/2019,66
12/26/2019,91
12/27/2019,144
12/28/2019,138
12/29/2019,120
12/30/2019,162
12/31/2019,127
