Date,Total_Crashes
6/30/2020,129
7/1/2020,143
7/2/2020,172
7/3/2020,122
7/4/2020,105
7/5/2020,107
7/6/2020,137
7/7/2020,137
7/8/2020,131
7/9/2020,145
7/10/2020,144
7/11/2020,130
7/12/2020,95
7/13/2020,108
7/14/2020,119
7/15/2020,119
7/16/2020,145
7/17/2020,139
7/18/2020,111
7/19/2020,102
7/20/2020,111
7/21/2020,127
7/22/2020,125
7/23/2020,116
7/24/2020,153
7/25/2020,131
7/26/2020,110
7/27/2020,124
7/28/2020,127
7/29/2020,127
7/30/2020,124
7/31/2020,154
8/1/2020,122
8/2/2020,112
8/3/2020,134
8/4/2020,133
8/5/2020,98
8/6/2020,113
8/7/2020,159
8/8/2020,140
8/9/2020,91
8/10/2020,260
8/11/2020,186
8/12/2020,149
8/13/2020,142
8/14/2020,179
8/15/2020,150
8/16/2020,128
8/17/2020,143
8/18/2020,106
8/19/2020,148
8/20/2020,148
8/21/2020,147
8/22/2020,119
8/23/2020,107
8/24/2020,117
8/25/2020,118
8/26/2020,135
8/27/2020,134
8/28/2020,146
8/29/2020,125
8/30/2020,105
8/31/2020,135
9/1/2020,134
9/2/2020,169
9/3/2020,143
9/4/2020,154
9/5/2020,124
9/6/2020,98
9/7/2020,116
9/8/2020,152
9/9/2020,136
9/10/2020,158
9/11/2020,192
9/12/2020,120
9/13/2020,91
9/14/2020,131
9/15/2020,143
9/16/2020,137
9/17/2020,138
9/18/2020,131
9/19/2020,141
9/20/2020,91
9/21/2020,133
9/22/2020,152
9/23/2020,148
9/24/2020,172
9/25/2020,180
9/26/2020,137
9/27/2020,96
9/28/2020,125
9/29/2020,162
9/30/2020,139
10/1/2020,142
10/2/2020,198
10/3/2020,132
10/4/2020,118
10/5/2020,144
10/6/2020,139
10/7/2020,145
10/8/2020,166
10/9/2020,192
10/10/2020,135
10/11/2020,148
10/12/2020,143
10/13/2020,132
10/14/2020,141
10/15/2020,154
10/16/2020,160
10/17/2020,137
10/18/2020,124
10/19/2020,197
10/20/2020,168
10/21/2020,141
10/22/2020,157
10/23/2020,165
10/24/2020,147
10/25/2020,188
10/26/2020,301
10/27/2020,150
10/28/2020,168
10/29/2020,166
10/30/2020,228
10/31/2020,167
11/1/2020,149
11/2/2020,160
11/3/2020,196
11/4/2020,180
11/5/2020,170
11/6/2020,209
11/7/2020,156
11/8/2020,155
11/9/2020,160
11/10/2020,234
11/11/2020,198
11/12/2020,162
11/13/2020,181
11/14/2020,133
11/15/2020,123
11/16/2020,163
11/17/2020,156
11/18/2020,150
11/19/2020,161
11/20/2020,181
11/21/2020,119
11/22/2020,92
11/23/2020,166
11/24/2020,172
11/25/2020,182
11/26/2020,101
11/27/2020,109
11/28/2020,99
11/29/2020,89
11/30/2020,130
12/1/2020,127
12/2/2020,127
12/3/2020,139
12/4/2020,150
12/5/2020,113
12/6/2020,114
12/7/2020,127
12/8/2020,137
12/9/2020,132
12/10/2020,135
12/11/2020,212
12/12/2020,281
12/13/2020,92
12/14/2020,135
12/15/2020,114
12/16/2020,133
12/17/2020,154
12/18/2020,148
12/19/2020,111
12/20/2020,105
12/21/2020,171
12/22/2020,162
12/23/2020,241
12/24/2020,141
12/25/2020,70
12/26/2020,119
12/27/2020,261
12/28/2020,152
12/29/2020,218
12/30/2020,169
12/31/2020,132
