Date,Total_Crashes
1/1/2020,94
1/2/2020,167
1/3/2020,211
1/4/2020,137
1/5/2020,82
1/6/2020,116
1/7/2020,122
1/8/2020,115
1/9/2020,125
1/10/2020,276
1/11/2020,140
1/12/2020,162
1/13/2020,181
1/14/2020,187
1/15/2020,317
1/16/2020,143
1/17/2020,277
1/18/2020,185
1/19/2020,142
1/20/2020,144
1/21/2020,169
1/22/2020,309
1/23/2020,180
1/24/2020,307
1/25/2020,143
1/26/2020,85
1/27/2020,129
1/28/2020,133
1/29/2020,162
1/30/2020,144
1/31/2020,169
2/1/2020,143
2/2/2020,88
2/3/2020,122
2/4/2020,81
2/5/2020,84
2/6/2020,129
2/7/2020,209
2/8/2020,117
2/9/2020,100
2/10/2020,126
2/11/2020,130
2/12/2020,211
2/13/2020,206
2/14/2020,189
2/15/2020,119
2/16/2020,76
2/17/2020,152
2/18/2020,135
2/19/2020,137
2/20/2020,136
2/21/2020,144
2/22/2020,130
2/23/2020,112
2/24/2020,99
2/25/2020,86
2/26/2020,114
2/27/2020,124
2/28/2020,139
2/29/2020,128
3/1/2020,87
3/2/2020,104
3/3/2020,134
3/4/2020,141
3/5/2020,117
3/6/2020,165
3/7/2020,118
3/8/2020,104
3/9/2020,155
3/10/2020,138
3/11/2020,94
3/12/2020,110
3/13/2020,153
3/14/2020,133
3/15/2020,74
3/16/2020,102
3/17/2020,90
3/18/2020,105
3/19/2020,96
3/20/2020,95
3/21/2020,61
3/22/2020,51
3/23/2020,79
3/24/2020,46
3/25/2020,48
3/26/2020,63
3/27/2020,71
3/28/2020,72
3/29/2020,42
3/30/2020,76
3/31/2020,65
4/1/2020,67
4/2/2020,89
4/3/2020,111
4/4/2020,62
4/5/2020,64
4/6/2020,68
4/7/2020,91
4/8/2020,71
4/9/2020,58
4/10/2020,80
4/11/2020,58
4/12/2020,70
4/13/2020,71
4/14/2020,61
4/15/2020,114
4/16/2020,81
4/17/2020,98
4/18/2020,68
4/19/2020,45
4/20/2020,80
4/21/2020,84
4/22/2020,92
4/23/2020,80
4/24/2020,87
4/25/2020,95
4/26/2020,77
4/27/2020,91
4/28/2020,81
4/29/2020,77
4/30/2020,97
5/1/2020,98
5/2/2020,103
5/3/2020,82
5/4/2020,83
5/5/2020,83
5/6/2020,91
5/7/2020,97
5/8/2020,91
5/9/2020,96
5/10/2020,61
5/11/2020,67
5/12/2020,88
5/13/2020,80
5/14/2020,92
5/15/2020,122
5/16/2020,117
5/17/2020,73
5/18/2020,99
5/19/2020,90
5/20/2020,109
5/21/2020,99
5/22/2020,109
5/23/2020,99
5/24/2020,87
5/25/2020,85
5/26/2020,129
5/27/2020,100
5/28/2020,137
5/29/2020,135
5/30/2020,97
5/31/2020,93
6/1/2020,136
6/2/2020,127
6/3/2020,133
6/4/2020,135
6/5/2020,176
6/6/2020,126
6/7/2020,99
6/8/2020,156
6/9/2020,134
6/10/2020,136
6/11/2020,143
6/12/2020,151
6/13/2020,125
6/14/2020,122
6/15/2020,131
6/16/2020,145
6/17/2020,133
6/18/2020,140
6/19/2020,153
6/20/2020,115
6/21/2020,112
6/22/2020,138
6/23/2020,113
6/24/2020,131
6/25/2020,120
6/26/2020,128
6/27/2020,136
6/28/2020,100
6/29/2020,140
