Date,Severity,Crashes
2/9/2009,Property Damage Only,105
2/9/2009,Minor Injury,8
2/9/2009,Major Injury,2
2/9/2009,Possible/Unknown,14
2/10/2009,Property Damage Only,94
2/10/2009,Minor Injury,9
2/10/2009,Major Injury,1
2/10/2009,Fatal,1
2/10/2009,Possible/Unknown,14
2/11/2009,Property Damage Only,65
2/11/2009,Minor Injury,4
2/11/2009,Major Injury,5
2/11/2009,Possible/Unknown,17
2/12/2009,Property Damage Only,90
2/12/2009,Minor Injury,10
2/12/2009,Major Injury,1
2/12/2009,Possible/Unknown,23
2/13/2009,Property Damage Only,448
2/13/2009,Minor Injury,39
2/13/2009,Major Injury,7
2/13/2009,Fatal,3
2/13/2009,Possible/Unknown,89
2/14/2009,Property Damage Only,112
2/14/2009,Minor Injury,7
2/14/2009,Major Injury,5
2/14/2009,Fatal,1
2/14/2009,Possible/Unknown,35
2/15/2009,Property Damage Only,60
2/15/2009,Minor Injury,11
2/15/2009,Major Injury,1
2/15/2009,Fatal,1
2/15/2009,Possible/Unknown,12
2/16/2009,Property Damage Only,77
2/16/2009,Minor Injury,6
2/16/2009,Major Injury,4
2/16/2009,Fatal,1
2/16/2009,Possible/Unknown,12
2/17/2009,Property Damage Only,71
2/17/2009,Minor Injury,9
2/17/2009,Major Injury,2
2/17/2009,Possible/Unknown,22
2/18/2009,Property Damage Only,61
2/18/2009,Minor Injury,4
2/18/2009,Major Injury,3
2/18/2009,Possible/Unknown,15
2/19/2009,Property Damage Only,89
2/19/2009,Minor Injury,9
2/19/2009,Major Injury,2
2/19/2009,Possible/Unknown,20
2/20/2009,Property Damage Only,134
2/20/2009,Minor Injury,12
2/20/2009,Major Injury,4
2/20/2009,Possible/Unknown,24
2/21/2009,Property Damage Only,142
2/21/2009,Minor Injury,16
2/21/2009,Major Injury,7
2/21/2009,Fatal,3
2/21/2009,Possible/Unknown,26
2/22/2009,Property Damage Only,68
2/22/2009,Minor Injury,11
2/22/2009,Major Injury,2
2/22/2009,Fatal,1
2/22/2009,Possible/Unknown,17
2/23/2009,Property Damage Only,79
