Date,Year,Month Number,Month,MMM-YYYY,Day Of Week Number,Day Of Week,Weekend
1/1/2009,2009,1,January,Jan-2009,4,Thursday,No
1/2/2009,2009,1,January,Jan-2009,5,Friday,No
1/3/2009,2009,1,January,Jan-2009,6,Saturday,Yes
1/4/2009,2009,1,January,Jan-2009,7,Sunday,Yes
1/5/2009,2009,1,January,Jan-2009,1,Monday,No
1/6/2009,2009,1,January,Jan-2009,2,Tuesday,No
1/7/2009,2009,1,January,Jan-2009,3,Wednesday,No
1/8/2009,2009,1,January,Jan-2009,4,Thursday,No
1/9/2009,2009,1,January,Jan-2009,5,Friday,No
1/10/2009,2009,1,January,Jan-2009,6,Saturday,Yes
1/11/2009,2009,1,January,Jan-2009,7,Sunday,Yes
1/12/2009,2009,1,January,Jan-2009,1,Monday,No
1/13/2009,2009,1,January,Jan-2009,2,Tuesday,No
1/14/2009,2009,1,January,Jan-2009,3,Wednesday,No
1/15/2009,2009,1,January,Jan-2009,4,Thursday,No
1/16/2009,2009,1,January,Jan-2009,5,Friday,No
1/17/2009,2009,1,January,Jan-2009,6,Saturday,Yes
1/18/2009,2009,1,January,Jan-2009,7,Sunday,Yes
1/19/2009,2009,1,January,Jan-2009,1,Monday,No
1/20/2009,2009,1,January,Jan-2009,2,Tuesday,No
1/21/2009,2009,1,January,Jan-2009,3,Wednesday,No
1/22/2009,2009,1,January,Jan-2009,4,Thursday,No
1/23/2009,2009,1,January,Jan-2009,5,Friday,No
1/24/2009,2009,1,January,Jan-2009,6,Saturday,Yes
1/25/2009,2009,1,January,Jan-2009,7,Sunday,Yes
1/26/2009,2009,1,January,Jan-2009,1,Monday,No
1/27/2009,2009,1,January,Jan-2009,2,Tuesday,No
1/28/2009,2009,1,January,Jan-2009,3,Wednesday,No
1/29/2009,2009,1,January,Jan-2009,4,Thursday,No
1/30/2009,2009,1,January,Jan-2009,5,Friday,No
1/31/2009,2009,1,January,Jan-2009,6,Saturday,Yes
2/1/2009,2009,2,February,Feb-2009,7,Sunday,Yes
2/2/2009,2009,2,February,Feb-2009,1,Monday,No
2/3/2009,2009,2,February,Feb-2009,2,Tuesday,No
2/4/2009,2009,2,February,Feb-2009,3,Wednesday,No
2/5/2009,2009,2,February,Feb-2009,4,Thursday,No
2/6/2009,2009,2,February,Feb-2009,5,Friday,No
2/7/2009,2009,2,February,Feb-2009,6,Saturday,Yes
2/8/2009,2009,2,February,Feb-2009,7,Sunday,Yes
2/9/2009,2009,2,February,Feb-2009,1,Monday,No
2/10/2009,2009,2,February,Feb-2009,2,Tuesday,No
2/11/2009,2009,2,February,Feb-2009,3,Wednesday,No
2/12/2009,2009,2,February,Feb-2009,4,Thursday,No
2/13/2009,2009,2,February,Feb-2009,5,Friday,No
2/14/2009,2009,2,February,Feb-2009,6,Saturday,Yes
2/15/2009,2009,2,February,Feb-2009,7,Sunday,Yes
2/16/2009,2009,2,February,Feb-2009,1,Monday,No
2/17/2009,2009,2,February,Feb-2009,2,Tuesday,No
2/18/2009,2009,2,February,Feb-2009,3,Wednesday,No
2/19/2009,2009,2,February,Feb-2009,4,Thursday,No
2/20/2009,2009,2,February,Feb-2009,5,Friday,No
2/21/2009,2009,2,February,Feb-2009,6,Saturday,Yes
2/22/2009,2009,2,February,Feb-2009,7,Sunday,Yes
2/23/2009,2009,2,February,Feb-2009,1,Monday,No
2/24/2009,2009,2,February,Feb-2009,2,Tuesday,No
2/25/2009,2009,2,February,Feb-2009,3,Wednesday,No
2/26/2009,2009,2,February,Feb-2009,4,Thursday,No
2/27/2009,2009,2,February,Feb-2009,5,Friday,No
2/28/2009,2009,2,February,Feb-2009,6,Saturday,Yes
3/1/2009,2009,3,March,Mar-2009,7,Sunday,Yes
3/2/2009,2009,3,March,Mar-2009,1,Monday,No
3/3/2009,2009,3,March,Mar-2009,2,Tuesday,No
3/4/2009,2009,3,March,Mar-2009,3,Wednesday,No
3/5/2009,2009,3,March,Mar-2009,4,Thursday,No
3/6/2009,2009,3,March,Mar-2009,5,Friday,No
3/7/2009,2009,3,March,Mar-2009,6,Saturday,Yes
3/8/2009,2009,3,March,Mar-2009,7,Sunday,Yes
3/9/2009,2009,3,March,Mar-2009,1,Monday,No
3/10/2009,2009,3,March,Mar-2009,2,Tuesday,No
3/11/2009,2009,3,March,Mar-2009,3,Wednesday,No
3/12/2009,2009,3,March,Mar-2009,4,Thursday,No
3/13/2009,2009,3,March,Mar-2009,5,Friday,No
3/14/2009,2009,3,March,Mar-2009,6,Saturday,Yes
3/15/2009,2009,3,March,Mar-2009,7,Sunday,Yes
3/16/2009,2009,3,March,Mar-2009,1,Monday,No
3/17/2009,2009,3,March,Mar-2009,2,Tuesday,No
3/18/2009,2009,3,March,Mar-2009,3,Wednesday,No
3/19/2009,2009,3,March,Mar-2009,4,Thursday,No
3/20/2009,2009,3,March,Mar-2009,5,Friday,No
3/21/2009,2009,3,March,Mar-2009,6,Saturday,Yes
3/22/2009,2009,3,March,Mar-2009,7,Sunday,Yes
3/23/2009,2009,3,March,Mar-2009,1,Monday,No
3/24/2009,2009,3,March,Mar-2009,2,Tuesday,No
3/25/2009,2009,3,March,Mar-2009,3,Wednesday,No
3/26/2009,2009,3,March,Mar-2009,4,Thursday,No
3/27/2009,2009,3,March,Mar-2009,5,Friday,No
3/28/2009,2009,3,March,Mar-2009,6,Saturday,Yes
3/29/2009,2009,3,March,Mar-2009,7,Sunday,Yes
3/30/2009,2009,3,March,Mar-2009,1,Monday,No
3/31/2009,2009,3,March,Mar-2009,2,Tuesday,No
4/1/2009,2009,4,April,Apr-2009,3,Wednesday,No
4/2/2009,2009,4,April,Apr-2009,4,Thursday,No
4/3/2009,2009,4,April,Apr-2009,5,Friday,No
4/4/2009,2009,4,April,Apr-2009,6,Saturday,Yes
4/5/2009,2009,4,April,Apr-2009,7,Sunday,Yes
4/6/2009,2009,4,April,Apr-2009,1,Monday,No
4/7/2009,2009,4,April,Apr-2009,2,Tuesday,No
4/8/2009,2009,4,April,Apr-2009,3,Wednesday,No
4/9/2009,2009,4,April,Apr-2009,4,Thursday,No
4/10/2009,2009,4,April,Apr-2009,5,Friday,No
4/11/2009,2009,4,April,Apr-2009,6,Saturday,Yes
4/12/2009,2009,4,April,Apr-2009,7,Sunday,Yes
4/13/2009,2009,4,April,Apr-2009,1,Monday,No
4/14/2009,2009,4,April,Apr-2009,2,Tuesday,No
4/15/2009,2009,4,April,Apr-2009,3,Wednesday,No
4/16/2009,2009,4,April,Apr-2009,4,Thursday,No
4/17/2009,2009,4,April,Apr-2009,5,Friday,No
4/18/2009,2009,4,April,Apr-2009,6,Saturday,Yes
4/19/2009,2009,4,April,Apr-2009,7,Sunday,Yes
4/20/2009,2009,4,April,Apr-2009,1,Monday,No
4/21/2009,2009,4,April,Apr-2009,2,Tuesday,No
4/22/2009,2009,4,April,Apr-2009,3,Wednesday,No
4/23/2009,2009,4,April,Apr-2009,4,Thursday,No
4/24/2009,2009,4,April,Apr-2009,5,Friday,No
4/25/2009,2009,4,April,Apr-2009,6,Saturday,Yes
4/26/2009,2009,4,April,Apr-2009,7,Sunday,Yes
4/27/2009,2009,4,April,Apr-2009,1,Monday,No
4/28/2009,2009,4,April,Apr-2009,2,Tuesday,No
4/29/2009,2009,4,April,Apr-2009,3,Wednesday,No
4/30/2009,2009,4,April,Apr-2009,4,Thursday,No
5/1/2009,2009,5,May,May-2009,5,Friday,No
5/2/2009,2009,5,May,May-2009,6,Saturday,Yes
5/3/2009,2009,5,May,May-2009,7,Sunday,Yes
5/4/2009,2009,5,May,May-2009,1,Monday,No
5/5/2009,2009,5,May,May-2009,2,Tuesday,No
5/6/2009,2009,5,May,May-2009,3,Wednesday,No
5/7/2009,2009,5,May,May-2009,4,Thursday,No
5/8/2009,2009,5,May,May-2009,5,Friday,No
5/9/2009,2009,5,May,May-2009,6,Saturday,Yes
5/10/2009,2009,5,May,May-2009,7,Sunday,Yes
5/11/2009,2009,5,May,May-2009,1,Monday,No
5/12/2009,2009,5,May,May-2009,2,Tuesday,No
5/13/2009,2009,5,May,May-2009,3,Wednesday,No
5/14/2009,2009,5,May,May-2009,4,Thursday,No
5/15/2009,2009,5,May,May-2009,5,Friday,No
5/16/2009,2009,5,May,May-2009,6,Saturday,Yes
5/17/2009,2009,5,May,May-2009,7,Sunday,Yes
5/18/2009,2009,5,May,May-2009,1,Monday,No
5/19/2009,2009,5,May,May-2009,2,Tuesday,No
5/20/2009,2009,5,May,May-2009,3,Wednesday,No
5/21/2009,2009,5,May,May-2009,4,Thursday,No
5/22/2009,2009,5,May,May-2009,5,Friday,No
5/23/2009,2009,5,May,May-2009,6,Saturday,Yes
5/24/2009,2009,5,May,May-2009,7,Sunday,Yes
5/25/2009,2009,5,May,May-2009,1,Monday,No
5/26/2009,2009,5,May,May-2009,2,Tuesday,No
5/27/2009,2009,5,May,May-2009,3,Wednesday,No
5/28/2009,2009,5,May,May-2009,4,Thursday,No
5/29/2009,2009,5,May,May-2009,5,Friday,No
5/30/2009,2009,5,May,May-2009,6,Saturday,Yes
5/31/2009,2009,5,May,May-2009,7,Sunday,Yes
6/1/2009,2009,6,June,Jun-2009,1,Monday,No
6/2/2009,2009,6,June,Jun-2009,2,Tuesday,No
6/3/2009,2009,6,June,Jun-2009,3,Wednesday,No
6/4/2009,2009,6,June,Jun-2009,4,Thursday,No
6/5/2009,2009,6,June,Jun-2009,5,Friday,No
6/6/2009,2009,6,June,Jun-2009,6,Saturday,Yes
6/7/2009,2009,6,June,Jun-2009,7,Sunday,Yes
6/8/2009,2009,6,June,Jun-2009,1,Monday,No
6/9/2009,2009,6,June,Jun-2009,2,Tuesday,No
6/10/2009,2009,6,June,Jun-2009,3,Wednesday,No
6/11/2009,2009,6,June,Jun-2009,4,Thursday,No
6/12/2009,2009,6,June,Jun-2009,5,Friday,No
6/13/2009,2009,6,June,Jun-2009,6,Saturday,Yes
6/14/2009,2009,6,June,Jun-2009,7,Sunday,Yes
6/15/2009,2009,6,June,Jun-2009,1,Monday,No
6/16/2009,2009,6,June,Jun-2009,2,Tuesday,No
6/17/2009,2009,6,June,Jun-2009,3,Wednesday,No
6/18/2009,2009,6,June,Jun-2009,4,Thursday,No
6/19/2009,2009,6,June,Jun-2009,5,Friday,No
6/20/2009,2009,6,June,Jun-2009,6,Saturday,Yes
6/21/2009,2009,6,June,Jun-2009,7,Sunday,Yes
6/22/2009,2009,6,June,Jun-2009,1,Monday,No
6/23/2009,2009,6,June,Jun-2009,2,Tuesday,No
6/24/2009,2009,6,June,Jun-2009,3,Wednesday,No
6/25/2009,2009,6,June,Jun-2009,4,Thursday,No
6/26/2009,2009,6,June,Jun-2009,5,Friday,No
6/27/2009,2009,6,June,Jun-2009,6,Saturday,Yes
6/28/2009,2009,6,June,Jun-2009,7,Sunday,Yes
6/29/2009,2009,6,June,Jun-2009,1,Monday,No
6/30/2009,2009,6,June,Jun-2009,2,Tuesday,No
7/1/2009,2009,7,July,Jul-2009,3,Wednesday,No
7/2/2009,2009,7,July,Jul-2009,4,Thursday,No
7/3/2009,2009,7,July,Jul-2009,5,Friday,No
7/4/2009,2009,7,July,Jul-2009,6,Saturday,Yes
7/5/2009,2009,7,July,Jul-2009,7,Sunday,Yes
7/6/2009,2009,7,July,Jul-2009,1,Monday,No
7/7/2009,2009,7,July,Jul-2009,2,Tuesday,No
7/8/2009,2009,7,July,Jul-2009,3,Wednesday,No
7/9/2009,2009,7,July,Jul-2009,4,Thursday,No
7/10/2009,2009,7,July,Jul-2009,5,Friday,No
7/11/2009,2009,7,July,Jul-2009,6,Saturday,Yes
7/12/2009,2009,7,July,Jul-2009,7,Sunday,Yes
7/13/2009,2009,7,July,Jul-2009,1,Monday,No
7/14/2009,2009,7,July,Jul-2009,2,Tuesday,No
7/15/2009,2009,7,July,Jul-2009,3,Wednesday,No
7/16/2009,2009,7,July,Jul-2009,4,Thursday,No
7/17/2009,2009,7,July,Jul-2009,5,Friday,No
7/18/2009,2009,7,July,Jul-2009,6,Saturday,Yes
7/19/2009,2009,7,July,Jul-2009,7,Sunday,Yes
7/20/2009,2009,7,July,Jul-2009,1,Monday,No
7/21/2009,2009,7,July,Jul-2009,2,Tuesday,No
7/22/2009,2009,7,July,Jul-2009,3,Wednesday,No
7/23/2009,2009,7,July,Jul-2009,4,Thursday,No
7/24/2009,2009,7,July,Jul-2009,5,Friday,No
7/25/2009,2009,7,July,Jul-2009,6,Saturday,Yes
7/26/2009,2009,7,July,Jul-2009,7,Sunday,Yes
7/27/2009,2009,7,July,Jul-2009,1,Monday,No
7/28/2009,2009,7,July,Jul-2009,2,Tuesday,No
7/29/2009,2009,7,July,Jul-2009,3,Wednesday,No
7/30/2009,2009,7,July,Jul-2009,4,Thursday,No
7/31/2009,2009,7,July,Jul-2009,5,Friday,No
8/1/2009,2009,8,August,Aug-2009,6,Saturday,Yes
8/2/2009,2009,8,August,Aug-2009,7,Sunday,Yes
8/3/2009,2009,8,August,Aug-2009,1,Monday,No
8/4/2009,2009,8,August,Aug-2009,2,Tuesday,No
8/5/2009,2009,8,August,Aug-2009,3,Wednesday,No
8/6/2009,2009,8,August,Aug-2009,4,Thursday,No
8/7/2009,2009,8,August,Aug-2009,5,Friday,No
8/8/2009,2009,8,August,Aug-2009,6,Saturday,Yes
8/9/2009,2009,8,August,Aug-2009,7,Sunday,Yes
8/10/2009,2009,8,August,Aug-2009,1,Monday,No
8/11/2009,2009,8,August,Aug-2009,2,Tuesday,No
8/12/2009,2009,8,August,Aug-2009,3,Wednesday,No
8/13/2009,2009,8,August,Aug-2009,4,Thursday,No
8/14/2009,2009,8,August,Aug-2009,5,Friday,No
8/15/2009,2009,8,August,Aug-2009,6,Saturday,Yes
8/16/2009,2009,8,August,Aug-2009,7,Sunday,Yes
8/17/2009,2009,8,August,Aug-2009,1,Monday,No
8/18/2009,2009,8,August,Aug-2009,2,Tuesday,No
8/19/2009,2009,8,August,Aug-2009,3,Wednesday,No
8/20/2009,2009,8,August,Aug-2009,4,Thursday,No
8/21/2009,2009,8,August,Aug-2009,5,Friday,No
8/22/2009,2009,8,August,Aug-2009,6,Saturday,Yes
8/23/2009,2009,8,August,Aug-2009,7,Sunday,Yes
8/24/2009,2009,8,August,Aug-2009,1,Monday,No
8/25/2009,2009,8,August,Aug-2009,2,Tuesday,No
8/26/2009,2009,8,August,Aug-2009,3,Wednesday,No
8/27/2009,2009,8,August,Aug-2009,4,Thursday,No
8/28/2009,2009,8,August,Aug-2009,5,Friday,No
8/29/2009,2009,8,August,Aug-2009,6,Saturday,Yes
8/30/2009,2009,8,August,Aug-2009,7,Sunday,Yes
8/31/2009,2009,8,August,Aug-2009,1,Monday,No
9/1/2009,2009,9,September,Sep-2009,2,Tuesday,No
9/2/2009,2009,9,September,Sep-2009,3,Wednesday,No
9/3/2009,2009,9,September,Sep-2009,4,Thursday,No
9/4/2009,2009,9,September,Sep-2009,5,Friday,No
9/5/2009,2009,9,September,Sep-2009,6,Saturday,Yes
9/6/2009,2009,9,September,Sep-2009,7,Sunday,Yes
9/7/2009,2009,9,September,Sep-2009,1,Monday,No
9/8/2009,2009,9,September,Sep-2009,2,Tuesday,No
9/9/2009,2009,9,September,Sep-2009,3,Wednesday,No
9/10/2009,2009,9,September,Sep-2009,4,Thursday,No
9/11/2009,2009,9,September,Sep-2009,5,Friday,No
9/12/2009,2009,9,September,Sep-2009,6,Saturday,Yes
9/13/2009,2009,9,September,Sep-2009,7,Sunday,Yes
9/14/2009,2009,9,September,Sep-2009,1,Monday,No
9/15/2009,2009,9,September,Sep-2009,2,Tuesday,No
9/16/2009,2009,9,September,Sep-2009,3,Wednesday,No
9/17/2009,2009,9,September,Sep-2009,4,Thursday,No
9/18/2009,2009,9,September,Sep-2009,5,Friday,No
9/19/2009,2009,9,September,Sep-2009,6,Saturday,Yes
9/20/2009,2009,9,September,Sep-2009,7,Sunday,Yes
9/21/2009,2009,9,September,Sep-2009,1,Monday,No
9/22/2009,2009,9,September,Sep-2009,2,Tuesday,No
9/23/2009,2009,9,September,Sep-2009,3,Wednesday,No
9/24/2009,2009,9,September,Sep-2009,4,Thursday,No
9/25/2009,2009,9,September,Sep-2009,5,Friday,No
9/26/2009,2009,9,September,Sep-2009,6,Saturday,Yes
9/27/2009,2009,9,September,Sep-2009,7,Sunday,Yes
9/28/2009,2009,9,September,Sep-2009,1,Monday,No
9/29/2009,2009,9,September,Sep-2009,2,Tuesday,No
9/30/2009,2009,9,September,Sep-2009,3,Wednesday,No
10/1/2009,2009,10,October,Oct-2009,4,Thursday,No
10/2/2009,2009,10,October,Oct-2009,5,Friday,No
10/3/2009,2009,10,October,Oct-2009,6,Saturday,Yes
10/4/2009,2009,10,October,Oct-2009,7,Sunday,Yes
10/5/2009,2009,10,October,Oct-2009,1,Monday,No
10/6/2009,2009,10,October,Oct-2009,2,Tuesday,No
10/7/2009,2009,10,October,Oct-2009,3,Wednesday,No
10/8/2009,2009,10,October,Oct-2009,4,Thursday,No
10/9/2009,2009,10,October,Oct-2009,5,Friday,No
10/10/2009,2009,10,October,Oct-2009,6,Saturday,Yes
10/11/2009,2009,10,October,Oct-2009,7,Sunday,Yes
10/12/2009,2009,10,October,Oct-2009,1,Monday,No
10/13/2009,2009,10,October,Oct-2009,2,Tuesday,No
10/14/2009,2009,10,October,Oct-2009,3,Wednesday,No
10/15/2009,2009,10,October,Oct-2009,4,Thursday,No
10/16/2009,2009,10,October,Oct-2009,5,Friday,No
10/17/2009,2009,10,October,Oct-2009,6,Saturday,Yes
10/18/2009,2009,10,October,Oct-2009,7,Sunday,Yes
10/19/2009,2009,10,October,Oct-2009,1,Monday,No
10/20/2009,2009,10,October,Oct-2009,2,Tuesday,No
10/21/2009,2009,10,October,Oct-2009,3,Wednesday,No
10/22/2009,2009,10,October,Oct-2009,4,Thursday,No
10/23/2009,2009,10,October,Oct-2009,5,Friday,No
10/24/2009,2009,10,October,Oct-2009,6,Saturday,Yes
10/25/2009,2009,10,October,Oct-2009,7,Sunday,Yes
10/26/2009,2009,10,October,Oct-2009,1,Monday,No
10/27/2009,2009,10,October,Oct-2009,2,Tuesday,No
10/28/2009,2009,10,October,Oct-2009,3,Wednesday,No
10/29/2009,2009,10,October,Oct-2009,4,Thursday,No
10/30/2009,2009,10,October,Oct-2009,5,Friday,No
10/31/2009,2009,10,October,Oct-2009,6,Saturday,Yes
11/1/2009,2009,11,November,Nov-2009,7,Sunday,Yes
11/2/2009,2009,11,November,Nov-2009,1,Monday,No
11/3/2009,2009,11,November,Nov-2009,2,Tuesday,No
11/4/2009,2009,11,November,Nov-2009,3,Wednesday,No
11/5/2009,2009,11,November,Nov-2009,4,Thursday,No
11/6/2009,2009,11,November,Nov-2009,5,Friday,No
11/7/2009,2009,11,November,Nov-2009,6,Saturday,Yes
11/8/2009,2009,11,November,Nov-2009,7,Sunday,Yes
11/9/2009,2009,11,November,Nov-2009,1,Monday,No
11/10/2009,2009,11,November,Nov-2009,2,Tuesday,No
11/11/2009,2009,11,November,Nov-2009,3,Wednesday,No
11/12/2009,2009,11,November,Nov-2009,4,Thursday,No
11/13/2009,2009,11,November,Nov-2009,5,Friday,No
11/14/2009,2009,11,November,Nov-2009,6,Saturday,Yes
11/15/2009,2009,11,November,Nov-2009,7,Sunday,Yes
11/16/2009,2009,11,November,Nov-2009,1,Monday,No
11/17/2009,2009,11,November,Nov-2009,2,Tuesday,No
11/18/2009,2009,11,November,Nov-2009,3,Wednesday,No
11/19/2009,2009,11,November,Nov-2009,4,Thursday,No
11/20/2009,2009,11,November,Nov-2009,5,Friday,No
11/21/2009,2009,11,November,Nov-2009,6,Saturday,Yes
11/22/2009,2009,11,November,Nov-2009,7,Sunday,Yes
11/23/2009,2009,11,November,Nov-2009,1,Monday,No
11/24/2009,2009,11,November,Nov-2009,2,Tuesday,No
11/25/2009,2009,11,November,Nov-2009,3,Wednesday,No
11/26/2009,2009,11,November,Nov-2009,4,Thursday,No
11/27/2009,2009,11,November,Nov-2009,5,Friday,No
11/28/2009,2009,11,November,Nov-2009,6,Saturday,Yes
11/29/2009,2009,11,November,Nov-2009,7,Sunday,Yes
11/30/2009,2009,11,November,Nov-2009,1,Monday,No
12/1/2009,2009,12,December,Dec-2009,2,Tuesday,No
12/2/2009,2009,12,December,Dec-2009,3,Wednesday,No
12/3/2009,2009,12,December,Dec-2009,4,Thursday,No
12/4/2009,2009,12,December,Dec-2009,5,Friday,No
12/5/2009,2009,12,December,Dec-2009,6,Saturday,Yes
12/6/2009,2009,12,December,Dec-2009,7,Sunday,Yes
12/7/2009,2009,12,December,Dec-2009,1,Monday,No
12/8/2009,2009,12,December,Dec-2009,2,Tuesday,No
12/9/2009,2009,12,December,Dec-2009,3,Wednesday,No
12/10/2009,2009,12,December,Dec-2009,4,Thursday,No
12/11/2009,2009,12,December,Dec-2009,5,Friday,No
12/12/2009,2009,12,December,Dec-2009,6,Saturday,Yes
12/13/2009,2009,12,December,Dec-2009,7,Sunday,Yes
12/14/2009,2009,12,December,Dec-2009,1,Monday,No
12/15/2009,2009,12,December,Dec-2009,2,Tuesday,No
12/16/2009,2009,12,December,Dec-2009,3,Wednesday,No
12/17/2009,2009,12,December,Dec-2009,4,Thursday,No
12/18/2009,2009,12,December,Dec-2009,5,Friday,No
12/19/2009,2009,12,December,Dec-2009,6,Saturday,Yes
12/20/2009,2009,12,December,Dec-2009,7,Sunday,Yes
12/21/2009,2009,12,December,Dec-2009,1,Monday,No
12/22/2009,2009,12,December,Dec-2009,2,Tuesday,No
12/23/2009,2009,12,December,Dec-2009,3,Wednesday,No
12/24/2009,2009,12,December,Dec-2009,4,Thursday,No
12/25/2009,2009,12,December,Dec-2009,5,Friday,No
12/26/2009,2009,12,December,Dec-2009,6,Saturday,Yes
12/27/2009,2009,12,December,Dec-2009,7,Sunday,Yes
12/28/2009,2009,12,December,Dec-2009,1,Monday,No
12/29/2009,2009,12,December,Dec-2009,2,Tuesday,No
12/30/2009,2009,12,December,Dec-2009,3,Wednesday,No
12/31/2009,2009,12,December,Dec-2009,4,Thursday,No
1/1/2010,2010,1,January,Jan-2010,5,Friday,No
1/2/2010,2010,1,January,Jan-2010,6,Saturday,Yes
1/3/2010,2010,1,January,Jan-2010,7,Sunday,Yes
1/4/2010,2010,1,January,Jan-2010,1,Monday,No
1/5/2010,2010,1,January,Jan-2010,2,Tuesday,No
1/6/2010,2010,1,January,Jan-2010,3,Wednesday,No
1/7/2010,2010,1,January,Jan-2010,4,Thursday,No
1/8/2010,2010,1,January,Jan-2010,5,Friday,No
1/9/2010,2010,1,January,Jan-2010,6,Saturday,Yes
1/10/2010,2010,1,January,Jan-2010,7,Sunday,Yes
1/11/2010,2010,1,January,Jan-2010,1,Monday,No
1/12/2010,2010,1,January,Jan-2010,2,Tuesday,No
1/13/2010,2010,1,January,Jan-2010,3,Wednesday,No
1/14/2010,2010,1,January,Jan-2010,4,Thursday,No
1/15/2010,2010,1,January,Jan-2010,5,Friday,No
1/16/2010,2010,1,January,Jan-2010,6,Saturday,Yes
1/17/2010,2010,1,January,Jan-2010,7,Sunday,Yes
1/18/2010,2010,1,January,Jan-2010,1,Monday,No
1/19/2010,2010,1,January,Jan-2010,2,Tuesday,No
1/20/2010,2010,1,January,Jan-2010,3,Wednesday,No
1/21/2010,2010,1,January,Jan-2010,4,Thursday,No
1/22/2010,2010,1,January,Jan-2010,5,Friday,No
1/23/2010,2010,1,January,Jan-2010,6,Saturday,Yes
1/24/2010,2010,1,January,Jan-2010,7,Sunday,Yes
1/25/2010,2010,1,January,Jan-2010,1,Monday,No
1/26/2010,2010,1,January,Jan-2010,2,Tuesday,No
1/27/2010,2010,1,January,Jan-2010,3,Wednesday,No
1/28/2010,2010,1,January,Jan-2010,4,Thursday,No
1/29/2010,2010,1,January,Jan-2010,5,Friday,No
1/30/2010,2010,1,January,Jan-2010,6,Saturday,Yes
1/31/2010,2010,1,January,Jan-2010,7,Sunday,Yes
2/1/2010,2010,2,February,Feb-2010,1,Monday,No
2/2/2010,2010,2,February,Feb-2010,2,Tuesday,No
2/3/2010,2010,2,February,Feb-2010,3,Wednesday,No
2/4/2010,2010,2,February,Feb-2010,4,Thursday,No
2/5/2010,2010,2,February,Feb-2010,5,Friday,No
2/6/2010,2010,2,February,Feb-2010,6,Saturday,Yes
2/7/2010,2010,2,February,Feb-2010,7,Sunday,Yes
2/8/2010,2010,2,February,Feb-2010,1,Monday,No
2/9/2010,2010,2,February,Feb-2010,2,Tuesday,No
2/10/2010,2010,2,February,Feb-2010,3,Wednesday,No
2/11/2010,2010,2,February,Feb-2010,4,Thursday,No
2/12/2010,2010,2,February,Feb-2010,5,Friday,No
2/13/2010,2010,2,February,Feb-2010,6,Saturday,Yes
2/14/2010,2010,2,February,Feb-2010,7,Sunday,Yes
2/15/2010,2010,2,February,Feb-2010,1,Monday,No
2/16/2010,2010,2,February,Feb-2010,2,Tuesday,No
2/17/2010,2010,2,February,Feb-2010,3,Wednesday,No
2/18/2010,2010,2,February,Feb-2010,4,Thursday,No
2/19/2010,2010,2,February,Feb-2010,5,Friday,No
2/20/2010,2010,2,February,Feb-2010,6,Saturday,Yes
2/21/2010,2010,2,February,Feb-2010,7,Sunday,Yes
2/22/2010,2010,2,February,Feb-2010,1,Monday,No
2/23/2010,2010,2,February,Feb-2010,2,Tuesday,No
2/24/2010,2010,2,February,Feb-2010,3,Wednesday,No
2/25/2010,2010,2,February,Feb-2010,4,Thursday,No
2/26/2010,2010,2,February,Feb-2010,5,Friday,No
2/27/2010,2010,2,February,Feb-2010,6,Saturday,Yes
2/28/2010,2010,2,February,Feb-2010,7,Sunday,Yes
3/1/2010,2010,3,March,Mar-2010,1,Monday,No
3/2/2010,2010,3,March,Mar-2010,2,Tuesday,No
3/3/2010,2010,3,March,Mar-2010,3,Wednesday,No
3/4/2010,2010,3,March,Mar-2010,4,Thursday,No
3/5/2010,2010,3,March,Mar-2010,5,Friday,No
3/6/2010,2010,3,March,Mar-2010,6,Saturday,Yes
3/7/2010,2010,3,March,Mar-2010,7,Sunday,Yes
3/8/2010,2010,3,March,Mar-2010,1,Monday,No
3/9/2010,2010,3,March,Mar-2010,2,Tuesday,No
3/10/2010,2010,3,March,Mar-2010,3,Wednesday,No
3/11/2010,2010,3,March,Mar-2010,4,Thursday,No
3/12/2010,2010,3,March,Mar-2010,5,Friday,No
3/13/2010,2010,3,March,Mar-2010,6,Saturday,Yes
3/14/2010,2010,3,March,Mar-2010,7,Sunday,Yes
3/15/2010,2010,3,March,Mar-2010,1,Monday,No
3/16/2010,2010,3,March,Mar-2010,2,Tuesday,No
3/17/2010,2010,3,March,Mar-2010,3,Wednesday,No
3/18/2010,2010,3,March,Mar-2010,4,Thursday,No
3/19/2010,2010,3,March,Mar-2010,5,Friday,No
3/20/2010,2010,3,March,Mar-2010,6,Saturday,Yes
3/21/2010,2010,3,March,Mar-2010,7,Sunday,Yes
3/22/2010,2010,3,March,Mar-2010,1,Monday,No
3/23/2010,2010,3,March,Mar-2010,2,Tuesday,No
3/24/2010,2010,3,March,Mar-2010,3,Wednesday,No
3/25/2010,2010,3,March,Mar-2010,4,Thursday,No
3/26/2010,2010,3,March,Mar-2010,5,Friday,No
3/27/2010,2010,3,March,Mar-2010,6,Saturday,Yes
3/28/2010,2010,3,March,Mar-2010,7,Sunday,Yes
3/29/2010,2010,3,March,Mar-2010,1,Monday,No
3/30/2010,2010,3,March,Mar-2010,2,Tuesday,No
3/31/2010,2010,3,March,Mar-2010,3,Wednesday,No
4/1/2010,2010,4,April,Apr-2010,4,Thursday,No
4/2/2010,2010,4,April,Apr-2010,5,Friday,No
4/3/2010,2010,4,April,Apr-2010,6,Saturday,Yes
