Date of Crash,Crash Severity,Crashes
04/12/2012,Major Injury,5
04/12/2012,Property Damage Only,73
04/13/2012,Major Injury,3
04/13/2012,Minor Injury,8
04/13/2012,Possible/Unknown,20
04/13/2012,Property Damage Only,110
04/14/2012,Property Damage Only,80
04/14/2012,Minor Injury,17
04/14/2012,Possible/Unknown,11
04/14/2012,Major Injury,2
04/14/2012,Fatal,1
04/15/2012,Fatal,1
04/15/2012,Major Injury,1
04/15/2012,Property Damage Only,64
04/15/2012,Possible/Unknown,17
04/15/2012,Minor Injury,5
04/16/2012,Possible/Unknown,10
04/16/2012,Minor Injury,10
04/16/2012,Property Damage Only,59
04/16/2012,Major Injury,4
04/17/2012,Fatal,1
04/17/2012,Property Damage Only,87
04/17/2012,Major Injury,1
04/17/2012,Possible/Unknown,13
04/17/2012,Minor Injury,10
04/18/2012,Possible/Unknown,24
04/18/2012,Major Injury,2
04/18/2012,Property Damage Only,89
04/18/2012,Minor Injury,7
04/19/2012,Minor Injury,9
04/19/2012,Possible/Unknown,21
04/19/2012,Major Injury,2
04/19/2012,Property Damage Only,97
04/20/2012,Possible/Unknown,21
04/20/2012,Minor Injury,6
04/20/2012,Major Injury,3
04/20/2012,Property Damage Only,79
04/21/2012,Minor Injury,11
04/21/2012,Possible/Unknown,8
04/21/2012,Fatal,1
04/21/2012,Major Injury,5
04/21/2012,Property Damage Only,85
04/22/2012,Fatal,1
04/22/2012,Property Damage Only,63
04/22/2012,Possible/Unknown,10
04/22/2012,Major Injury,3
04/22/2012,Minor Injury,6
04/23/2012,Possible/Unknown,16
04/23/2012,Major Injury,4
04/23/2012,Minor Injury,8
04/23/2012,Property Damage Only,72
04/24/2012,Possible/Unknown,22
04/24/2012,Major Injury,5
04/24/2012,Property Damage Only,82
04/24/2012,Minor Injury,14
04/25/2012,Fatal,1
04/25/2012,Property Damage Only,77
04/25/2012,Possible/Unknown,25
04/25/2012,Minor Injury,18
04/25/2012,Major Injury,4
04/26/2012,Major Injury,5
04/26/2012,Possible/Unknown,25
04/26/2012,Minor Injury,17
04/26/2012,Property Damage Only,82
04/27/2012,Major Injury,2
04/27/2012,Fatal,1
04/27/2012,Minor Injury,17
04/27/2012,Property Damage Only,68
04/27/2012,Possible/Unknown,22
04/28/2012,Property Damage Only,73
04/28/2012,Minor Injury,7
04/28/2012,Possible/Unknown,14
04/28/2012,Major Injury,5
04/28/2012,Fatal,1
04/29/2012,Minor Injury,8
04/29/2012,Property Damage Only,81
04/29/2012,Possible/Unknown,13
04/29/2012,Major Injury,3
04/29/2012,Fatal,1
04/30/2012,Property Damage Only,86
04/30/2012,Minor Injury,7
04/30/2012,Possible/Unknown,22
04/30/2012,Major Injury,2
05/01/2012,Possible/Unknown,23
05/01/2012,Fatal,2
05/01/2012,Property Damage Only,108
05/01/2012,Major Injury,1
05/01/2012,Minor Injury,9
05/02/2012,Minor Injury,11
05/02/2012,Fatal,1
05/02/2012,Property Damage Only,101
05/02/2012,Possible/Unknown,21
05/02/2012,Major Injury,6
05/03/2012,Major Injury,4
05/03/2012,Possible/Unknown,23
05/03/2012,Minor Injury,16
05/03/2012,Property Damage Only,107
05/04/2012,Possible/Unknown,23
05/04/2012,Minor Injury,11
05/04/2012,Property Damage Only,131
05/04/2012,Major Injury,2
05/04/2012,Fatal,2
05/05/2012,Minor Injury,21
05/05/2012,Major Injury,9
05/05/2012,Property Damage Only,88
05/05/2012,Fatal,3
05/05/2012,Possible/Unknown,20
05/06/2012,Fatal,1
05/06/2012,Possible/Unknown,11
05/06/2012,Property Damage Only,55
05/06/2012,Major Injury,2
05/06/2012,Minor Injury,11
05/07/2012,Minor Injury,9
05/07/2012,Possible/Unknown,22
05/07/2012,Major Injury,2
05/07/2012,Fatal,1
05/07/2012,Property Damage Only,90
05/08/2012,Fatal,1
05/08/2012,Major Injury,8
05/08/2012,Property Damage Only,85
05/08/2012,Possible/Unknown,27
05/08/2012,Minor Injury,14
05/09/2012,Minor Injury,10
05/09/2012,Major Injury,9
05/09/2012,Property Damage Only,103
05/09/2012,Fatal,1
05/09/2012,Possible/Unknown,25
05/10/2012,Property Damage Only,94
05/10/2012,Fatal,1
05/10/2012,Major Injury,2
05/10/2012,Possible/Unknown,21
05/10/2012,Minor Injury,10
05/11/2012,Major Injury,5
05/11/2012,Property Damage Only,114
05/11/2012,Minor Injury,23
05/11/2012,Possible/Unknown,25
05/11/2012,Fatal,2
05/12/2012,Fatal,3
05/12/2012,Major Injury,4
05/12/2012,Possible/Unknown,15
05/12/2012,Property Damage Only,79
05/12/2012,Minor Injury,25
05/13/2012,Possible/Unknown,17
05/13/2012,Major Injury,5
05/13/2012,Minor Injury,13
05/13/2012,Property Damage Only,55
05/13/2012,Fatal,1
05/14/2012,Fatal,1
05/14/2012,Property Damage Only,113
05/14/2012,Minor Injury,16
05/14/2012,Major Injury,3
05/14/2012,Possible/Unknown,34
05/15/2012,Minor Injury,14
05/15/2012,Possible/Unknown,20
05/15/2012,Fatal,1
05/15/2012,Major Injury,9
05/15/2012,Property Damage Only,95
05/16/2012,Possible/Unknown,27
05/16/2012,Property Damage Only,91
05/16/2012,Fatal,1
05/16/2012,Minor Injury,21
05/16/2012,Major Injury,8
05/17/2012,Major Injury,9
05/17/2012,Possible/Unknown,28
05/17/2012,Property Damage Only,85
05/17/2012,Fatal,1
05/17/2012,Minor Injury,16
05/18/2012,Minor Injury,18
05/18/2012,Possible/Unknown,26
05/18/2012,Property Damage Only,116
05/18/2012,Major Injury,5
05/19/2012,Major Injury,4
05/19/2012,Possible/Unknown,18
05/19/2012,Minor Injury,10
05/19/2012,Fatal,4
05/19/2012,Property Damage Only,93
05/20/2012,Major Injury,2
05/20/2012,Possible/Unknown,23
05/20/2012,Minor Injury,17
05/20/2012,Property Damage Only,68
05/21/2012,Minor Injury,15
05/21/2012,Fatal,2
05/21/2012,Possible/Unknown,25
05/21/2012,Major Injury,4
05/21/2012,Property Damage Only,85
05/22/2012,Minor Injury,18
05/22/2012,Major Injury,4
05/22/2012,Possible/Unknown,14
05/22/2012,Property Damage Only,95
05/23/2012,Minor Injury,9
05/23/2012,Possible/Unknown,22
05/23/2012,Fatal,2
05/23/2012,Property Damage Only,101
05/23/2012,Major Injury,4
05/24/2012,Possible/Unknown,26
05/24/2012,Minor Injury,18
05/24/2012,Major Injury,3
05/24/2012,Property Damage Only,92
05/24/2012,Fatal,2
05/25/2012,Minor Injury,17
05/25/2012,Fatal,1
05/25/2012,Major Injury,4
05/25/2012,Possible/Unknown,26
05/25/2012,Property Damage Only,109
05/26/2012,Minor Injury,16
05/26/2012,Possible/Unknown,16
05/26/2012,Property Damage Only,71
05/26/2012,Major Injury,2
05/26/2012,Fatal,1
05/27/2012,Property Damage Only,69
05/27/2012,Major Injury,7
05/27/2012,Fatal,4
05/27/2012,Minor Injury,13
05/27/2012,Possible/Unknown,18
05/28/2012,Minor Injury,15
05/28/2012,Possible/Unknown,10
05/28/2012,Property Damage Only,65
05/28/2012,Fatal,3
05/28/2012,Major Injury,2
05/29/2012,Major Injury,7
05/29/2012,Fatal,2
05/29/2012,Minor Injury,15
05/29/2012,Possible/Unknown,26
05/29/2012,Property Damage Only,95
05/30/2012,Minor Injury,8
05/30/2012,Possible/Unknown,23
05/30/2012,Major Injury,2
05/30/2012,Property Damage Only,79
05/31/2012,Major Injury,1
05/31/2012,Minor Injury,15
05/31/2012,Possible/Unknown,26
05/31/2012,Property Damage Only,105
06/01/2012,Possible/Unknown,28
06/01/2012,Property Damage Only,108
06/01/2012,Major Injury,4
06/01/2012,Fatal,1
06/01/2012,Minor Injury,22
06/02/2012,Major Injury,3
06/02/2012,Minor Injury,18
06/02/2012,Property Damage Only,97
06/02/2012,Possible/Unknown,18
06/03/2012,Possible/Unknown,21
06/03/2012,Property Damage Only,62
06/03/2012,Fatal,1
06/03/2012,Major Injury,7
06/03/2012,Minor Injury,17
06/04/2012,Minor Injury,15
06/04/2012,Property Damage Only,119
06/04/2012,Major Injury,8
06/04/2012,Possible/Unknown,13
06/05/2012,Fatal,1
06/05/2012,Minor Injury,18
06/05/2012,Possible/Unknown,17
06/05/2012,Major Injury,4
06/05/2012,Property Damage Only,91
06/06/2012,Possible/Unknown,19
06/06/2012,Property Damage Only,90
06/06/2012,Major Injury,7
06/06/2012,Minor Injury,18
06/07/2012,Possible/Unknown,15
06/07/2012,Property Damage Only,86
06/07/2012,Minor Injury,16
06/07/2012,Major Injury,6
06/08/2012,Minor Injury,21
06/08/2012,Property Damage Only,115
06/08/2012,Possible/Unknown,34
06/08/2012,Major Injury,4
06/09/2012,Possible/Unknown,25
06/09/2012,Major Injury,7
06/09/2012,Minor Injury,13
06/09/2012,Fatal,1
06/09/2012,Property Damage Only,85
06/10/2012,Property Damage Only,66
06/10/2012,Possible/Unknown,14
06/10/2012,Major Injury,4
06/10/2012,Minor Injury,14
06/10/2012,Fatal,2
06/11/2012,Possible/Unknown,31
06/11/2012,Minor Injury,18
06/11/2012,Fatal,1
06/11/2012,Property Damage Only,89
06/11/2012,Major Injury,1
06/12/2012,Minor Injury,18
06/12/2012,Property Damage Only,82
06/12/2012,Possible/Unknown,23
06/12/2012,Major Injury,3
06/13/2012,Property Damage Only,77
06/13/2012,Minor Injury,9
06/13/2012,Major Injury,3
06/13/2012,Possible/Unknown,23
06/14/2012,Minor Injury,14
06/14/2012,Major Injury,8
06/14/2012,Property Damage Only,90
06/14/2012,Fatal,1
06/14/2012,Possible/Unknown,19
06/15/2012,Major Injury,5
06/15/2012,Minor Injury,22
06/15/2012,Fatal,1
06/15/2012,Possible/Unknown,24
06/15/2012,Property Damage Only,112
06/16/2012,Possible/Unknown,14
06/16/2012,Minor Injury,19
06/16/2012,Property Damage Only,102
06/16/2012,Major Injury,3
06/16/2012,Fatal,3
06/17/2012,Possible/Unknown,19
06/17/2012,Major Injury,2
06/17/2012,Property Damage Only,63
06/17/2012,Minor Injury,13
06/17/2012,Fatal,1
06/18/2012,Major Injury,3
06/18/2012,Fatal,1
06/18/2012,Possible/Unknown,15
06/18/2012,Property Damage Only,91
06/18/2012,Minor Injury,17
06/19/2012,Minor Injury,8
06/19/2012,Property Damage Only,90
06/19/2012,Major Injury,3
06/19/2012,Possible/Unknown,18
06/20/2012,Possible/Unknown,19
06/20/2012,Property Damage Only,75
06/20/2012,Fatal,1
06/20/2012,Minor Injury,9
06/20/2012,Major Injury,1
06/21/2012,Possible/Unknown,26
06/21/2012,Property Damage Only,88
06/21/2012,Fatal,1
06/21/2012,Minor Injury,16
06/21/2012,Major Injury,3
06/22/2012,Minor Injury,21
06/22/2012,Property Damage Only,103
06/22/2012,Possible/Unknown,24
06/22/2012,Fatal,2
06/22/2012,Major Injury,5
06/23/2012,Property Damage Only,93
06/23/2012,Minor Injury,17
06/23/2012,Major Injury,2
06/23/2012,Possible/Unknown,21
06/24/2012,Minor Injury,12
06/24/2012,Possible/Unknown,18
06/24/2012,Fatal,1
06/24/2012,Property Damage Only,63
06/24/2012,Major Injury,10
06/25/2012,Major Injury,4
06/25/2012,Possible/Unknown,23
06/25/2012,Property Damage Only,81
06/25/2012,Minor Injury,20
06/26/2012,Major Injury,1
06/26/2012,Possible/Unknown,24
06/26/2012,Property Damage Only,87
06/26/2012,Minor Injury,12
06/26/2012,Fatal,2
06/27/2012,Property Damage Only,85
06/27/2012,Possible/Unknown,19
06/27/2012,Minor Injury,10
06/27/2012,Major Injury,7
06/28/2012,Major Injury,9
06/28/2012,Property Damage Only,85
06/28/2012,Possible/Unknown,18
06/28/2012,Minor Injury,10
06/29/2012,Major Injury,4
06/29/2012,Minor Injury,11
06/29/2012,Possible/Unknown,29
06/29/2012,Property Damage Only,89
06/30/2012,Possible/Unknown,15
06/30/2012,Fatal,1
06/30/2012,Major Injury,7
06/30/2012,Property Damage Only,80
06/30/2012,Minor Injury,17
07/01/2012,Minor Injury,15
07/01/2012,Possible/Unknown,18
07/01/2012,Fatal,3
07/01/2012,Major Injury,3
07/01/2012,Property Damage Only,78
07/02/2012,Possible/Unknown,28
07/02/2012,Property Damage Only,85
07/02/2012,Minor Injury,11
07/02/2012,Major Injury,3
07/03/2012,Property Damage Only,97
07/03/2012,Major Injury,3
07/03/2012,Possible/Unknown,23
07/03/2012,Minor Injury,15
07/04/2012,Minor Injury,7
07/04/2012,Major Injury,5
07/04/2012,Property Damage Only,57
07/04/2012,Possible/Unknown,11
07/05/2012,Property Damage Only,71
07/05/2012,Major Injury,3
07/05/2012,Possible/Unknown,18
07/05/2012,Minor Injury,15
07/06/2012,Minor Injury,15
07/06/2012,Property Damage Only,94
07/06/2012,Major Injury,6
07/06/2012,Possible/Unknown,25
07/06/2012,Fatal,1
07/07/2012,Fatal,1
07/07/2012,Minor Injury,15
07/07/2012,Major Injury,11
07/07/2012,Possible/Unknown,14
07/07/2012,Property Damage Only,71
07/08/2012,Minor Injury,12
07/08/2012,Property Damage Only,54
07/08/2012,Fatal,1
07/08/2012,Possible/Unknown,17
07/08/2012,Major Injury,5
07/09/2012,Major Injury,3
07/09/2012,Possible/Unknown,25
07/09/2012,Property Damage Only,80
07/09/2012,Fatal,2
07/09/2012,Minor Injury,16
07/10/2012,Possible/Unknown,21
07/10/2012,Major Injury,9
07/10/2012,Fatal,2
07/10/2012,Minor Injury,13
07/10/2012,Property Damage Only,77
07/11/2012,Minor Injury,18
07/11/2012,Fatal,1
07/11/2012,Major Injury,5
07/11/2012,Possible/Unknown,24
07/11/2012,Property Damage Only,84
07/12/2012,Major Injury,2
07/12/2012,Property Damage Only,93
07/12/2012,Minor Injury,16
07/12/2012,Possible/Unknown,18
07/13/2012,Major Injury,3
07/13/2012,Property Damage Only,93
07/13/2012,Minor Injury,15
07/13/2012,Possible/Unknown,20
07/14/2012,Possible/Unknown,24
07/14/2012,Major Injury,9
07/14/2012,Fatal,1
07/14/2012,Property Damage Only,60
07/14/2012,Minor Injury,16
07/15/2012,Minor Injury,10
07/15/2012,Major Injury,4
07/15/2012,Property Damage Only,46
07/15/2012,Possible/Unknown,17
07/16/2012,Property Damage Only,81
07/16/2012,Possible/Unknown,21
07/16/2012,Major Injury,2
07/16/2012,Minor Injury,15
07/17/2012,Minor Injury,8
07/17/2012,Possible/Unknown,23
07/17/2012,Property Damage Only,84
07/17/2012,Major Injury,6
07/18/2012,Fatal,1
07/18/2012,Property Damage Only,77
07/18/2012,Major Injury,3
07/18/2012,Possible/Unknown,21
07/18/2012,Minor Injury,9
07/19/2012,Possible/Unknown,25
07/19/2012,Minor Injury,14
07/19/2012,Property Damage Only,89
07/19/2012,Major Injury,5
07/20/2012,Possible/Unknown,34
07/20/2012,Major Injury,3
07/20/2012,Property Damage Only,79
07/20/2012,Fatal,2
07/20/2012,Minor Injury,21
07/21/2012,Property Damage Only,54
07/21/2012,Major Injury,6
07/21/2012,Possible/Unknown,23
07/21/2012,Fatal,1
07/21/2012,Minor Injury,8
07/22/2012,Major Injury,3
07/22/2012,Property Damage Only,58
07/22/2012,Possible/Unknown,20
07/22/2012,Minor Injury,12
07/23/2012,Major Injury,7
07/23/2012,Property Damage Only,79
07/23/2012,Minor Injury,18
07/23/2012,Possible/Unknown,22
07/24/2012,Minor Injury,10
07/24/2012,Major Injury,5
07/24/2012,Possible/Unknown,28
07/24/2012,Property Damage Only,78
07/25/2012,Possible/Unknown,18
07/25/2012,Fatal,1
07/25/2012,Minor Injury,16
07/25/2012,Property Damage Only,89
07/25/2012,Major Injury,3
07/26/2012,Minor Injury,11
07/26/2012,Possible/Unknown,24
07/26/2012,Major Injury,3
07/26/2012,Property Damage Only,87
07/27/2012,Property Damage Only,104
07/27/2012,Major Injury,6
07/27/2012,Possible/Unknown,27
07/27/2012,Fatal,1
07/27/2012,Minor Injury,11
07/28/2012,Minor Injury,14
07/28/2012,Possible/Unknown,16
07/28/2012,Property Damage Only,66
07/28/2012,Major Injury,8
07/29/2012,Possible/Unknown,16
07/29/2012,Major Injury,7
07/29/2012,Minor Injury,14
07/29/2012,Property Damage Only,61
07/30/2012,Major Injury,6
07/30/2012,Property Damage Only,93
07/30/2012,Fatal,2
07/30/2012,Possible/Unknown,17
07/30/2012,Minor Injury,11
07/31/2012,Minor Injury,15
07/31/2012,Major Injury,6
07/31/2012,Property Damage Only,70
07/31/2012,Possible/Unknown,24
08/01/2012,Possible/Unknown,26
08/01/2012,Major Injury,4
08/01/2012,Minor Injury,18
08/01/2012,Property Damage Only,91
08/02/2012,Possible/Unknown,19
08/02/2012,Minor Injury,17
08/02/2012,Fatal,1
08/02/2012,Major Injury,5
08/02/2012,Property Damage Only,86
08/03/2012,Fatal,3
08/03/2012,Property Damage Only,107
08/03/2012,Major Injury,8
08/03/2012,Minor Injury,20
08/03/2012,Possible/Unknown,23
08/04/2012,Minor Injury,18
08/04/2012,Fatal,1
08/04/2012,Major Injury,5
08/04/2012,Property Damage Only,85
08/04/2012,Possible/Unknown,22
08/05/2012,Minor Injury,18
08/05/2012,Major Injury,5
08/05/2012,Fatal,1
08/05/2012,Property Damage Only,54
08/05/2012,Possible/Unknown,15
08/06/2012,Possible/Unknown,24
08/06/2012,Minor Injury,9
08/06/2012,Property Damage Only,91
08/06/2012,Major Injury,2
08/06/2012,Fatal,1
08/07/2012,Property Damage Only,80
08/07/2012,Minor Injury,16
08/07/2012,Possible/Unknown,17
08/07/2012,Fatal,3
08/07/2012,Major Injury,4
08/08/2012,Possible/Unknown,18
08/08/2012,Fatal,1
08/08/2012,Property Damage Only,82
08/08/2012,Minor Injury,9
08/08/2012,Major Injury,3
08/09/2012,Minor Injury,7
08/09/2012,Fatal,1
08/09/2012,Major Injury,3
08/09/2012,Possible/Unknown,21
08/09/2012,Property Damage Only,70
08/10/2012,Major Injury,3
08/10/2012,Fatal,1
08/10/2012,Possible/Unknown,29
08/10/2012,Minor Injury,11
08/10/2012,Property Damage Only,82
08/11/2012,Major Injury,7
08/11/2012,Property Damage Only,69
08/11/2012,Possible/Unknown,21
08/11/2012,Minor Injury,15
08/12/2012,Major Injury,3
08/12/2012,Possible/Unknown,18
08/12/2012,Property Damage Only,65
08/12/2012,Minor Injury,7
08/13/2012,Property Damage Only,84
08/13/2012,Minor Injury,11
08/13/2012,Possible/Unknown,23
08/13/2012,Major Injury,5
08/14/2012,Possible/Unknown,25
08/14/2012,Major Injury,2
08/14/2012,Property Damage Only,83
08/14/2012,Minor Injury,14
08/15/2012,Major Injury,2
08/15/2012,Possible/Unknown,19
08/15/2012,Fatal,2
08/15/2012,Property Damage Only,89
08/15/2012,Minor Injury,8
08/16/2012,Possible/Unknown,25
08/16/2012,Fatal,1
08/16/2012,Major Injury,4
08/16/2012,Minor Injury,5
08/16/2012,Property Damage Only,76
08/17/2012,Minor Injury,14
08/17/2012,Possible/Unknown,28
08/17/2012,Major Injury,5
08/17/2012,Property Damage Only,97
08/18/2012,Property Damage Only,67
08/18/2012,Fatal,1
08/18/2012,Major Injury,4
08/18/2012,Possible/Unknown,22
08/18/2012,Minor Injury,14
08/19/2012,Possible/Unknown,11
08/19/2012,Major Injury,4
08/19/2012,Fatal,1
08/19/2012,Property Damage Only,60
08/19/2012,Minor Injury,13
08/20/2012,Minor Injury,19
08/20/2012,Possible/Unknown,27
08/20/2012,Fatal,3
08/20/2012,Property Damage Only,76
08/20/2012,Major Injury,6
08/21/2012,Property Damage Only,90
08/21/2012,Possible/Unknown,25
08/21/2012,Minor Injury,16
08/21/2012,Major Injury,3
08/22/2012,Property Damage Only,81
08/22/2012,Minor Injury,15
08/22/2012,Fatal,2
08/22/2012,Possible/Unknown,20
08/22/2012,Major Injury,3
08/23/2012,Property Damage Only,76
08/23/2012,Possible/Unknown,22
08/23/2012,Major Injury,7
08/23/2012,Minor Injury,10
08/23/2012,Fatal,1
08/24/2012,Major Injury,5
08/24/2012,Fatal,1
08/24/2012,Property Damage Only,103
08/24/2012,Possible/Unknown,24
08/24/2012,Minor Injury,12
08/25/2012,Property Damage Only,104
08/25/2012,Possible/Unknown,23
08/25/2012,Major Injury,2
08/25/2012,Minor Injury,9
08/26/2012,Possible/Unknown,10
08/26/2012,Property Damage Only,56
08/26/2012,Fatal,3
08/26/2012,Major Injury,3
08/26/2012,Minor Injury,7
08/27/2012,Major Injury,3
08/27/2012,Fatal,1
08/27/2012,Possible/Unknown,20
08/27/2012,Minor Injury,10
08/27/2012,Property Damage Only,72
08/28/2012,Property Damage Only,74
08/28/2012,Minor Injury,16
08/28/2012,Possible/Unknown,15
08/28/2012,Major Injury,1
08/29/2012,Minor Injury,12
08/29/2012,Possible/Unknown,15
08/29/2012,Major Injury,6
08/29/2012,Property Damage Only,82
08/30/2012,Property Damage Only,81
08/30/2012,Minor Injury,28
08/30/2012,Possible/Unknown,24
08/30/2012,Fatal,2
08/30/2012,Major Injury,3
08/31/2012,Property Damage Only,101
08/31/2012,Possible/Unknown,29
08/31/2012,Minor Injury,16
08/31/2012,Fatal,5
08/31/2012,Major Injury,6
09/01/2012,Possible/Unknown,16
09/01/2012,Property Damage Only,64
09/01/2012,Minor Injury,15
09/01/2012,Major Injury,8
09/02/2012,Property Damage Only,37
09/02/2012,Fatal,2
09/02/2012,Minor Injury,13
09/02/2012,Possible/Unknown,16
09/02/2012,Major Injury,8
09/03/2012,Major Injury,3
09/03/2012,Minor Injury,15
09/03/2012,Property Damage Only,58
09/03/2012,Possible/Unknown,17
09/04/2012,Property Damage Only,98
09/04/2012,Possible/Unknown,27
09/04/2012,Major Injury,6
09/04/2012,Minor Injury,10
09/04/2012,Fatal,1
09/05/2012,Minor Injury,13
09/05/2012,Major Injury,3
09/05/2012,Fatal,1
09/05/2012,Property Damage Only,98
09/05/2012,Possible/Unknown,18
09/06/2012,Property Damage Only,70
09/06/2012,Possible/Unknown,13
09/06/2012,Major Injury,12
09/06/2012,Minor Injury,24
09/07/2012,Possible/Unknown,20
09/07/2012,Major Injury,2
09/07/2012,Minor Injury,17
09/07/2012,Property Damage Only,99
09/08/2012,Fatal,1
09/08/2012,Major Injury,13
09/08/2012,Property Damage Only,83
09/08/2012,Minor Injury,16
09/08/2012,Possible/Unknown,16
09/09/2012,Property Damage Only,53
09/09/2012,Possible/Unknown,17
09/09/2012,Fatal,2
09/09/2012,Major Injury,6
09/09/2012,Minor Injury,11
09/10/2012,Minor Injury,15
09/10/2012,Major Injury,6
09/10/2012,Property Damage Only,102
09/10/2012,Possible/Unknown,29
09/11/2012,Major Injury,4
09/11/2012,Property Damage Only,76
09/11/2012,Minor Injury,16
09/11/2012,Possible/Unknown,33
09/11/2012,Fatal,1
09/12/2012,Property Damage Only,77
09/12/2012,Major Injury,4
09/12/2012,Possible/Unknown,22
09/12/2012,Minor Injury,13
09/13/2012,Fatal,1
09/13/2012,Possible/Unknown,21
09/13/2012,Minor Injury,16
09/13/2012,Property Damage Only,66
09/14/2012,Minor Injury,15
09/14/2012,Major Injury,11
09/14/2012,Property Damage Only,99
09/14/2012,Possible/Unknown,22
09/15/2012,Possible/Unknown,20
09/15/2012,Minor Injury,15
09/15/2012,Property Damage Only,86
09/15/2012,Major Injury,2
09/16/2012,Major Injury,10
09/16/2012,Minor Injury,11
09/16/2012,Property Damage Only,63
09/16/2012,Possible/Unknown,7
09/16/2012,Fatal,4
09/17/2012,Possible/Unknown,29
09/17/2012,Major Injury,4
09/17/2012,Property Damage Only,95
09/17/2012,Minor Injury,11
09/18/2012,Major Injury,3
09/18/2012,Property Damage Only,95
09/18/2012,Possible/Unknown,23
09/18/2012,Fatal,3
09/18/2012,Minor Injury,14
09/19/2012,Possible/Unknown,26
09/19/2012,Property Damage Only,86
09/19/2012,Minor Injury,7
09/19/2012,Major Injury,2
09/20/2012,Major Injury,4
09/20/2012,Minor Injury,8
09/20/2012,Possible/Unknown,25
09/20/2012,Fatal,1
09/20/2012,Property Damage Only,76
09/21/2012,Major Injury,3
09/21/2012,Minor Injury,17
09/21/2012,Fatal,1
09/21/2012,Property Damage Only,109
09/21/2012,Possible/Unknown,30
09/22/2012,Major Injury,9
09/22/2012,Minor Injury,11
09/22/2012,Fatal,2
09/22/2012,Possible/Unknown,17
09/22/2012,Property Damage Only,93
09/23/2012,Possible/Unknown,15
09/23/2012,Minor Injury,13
09/23/2012,Fatal,2
09/23/2012,Major Injury,5
09/23/2012,Property Damage Only,65
09/24/2012,Property Damage Only,93
09/24/2012,Possible/Unknown,24
09/24/2012,Minor Injury,15
09/24/2012,Major Injury,1
09/24/2012,Fatal,2
09/25/2012,Minor Injury,9
09/25/2012,Possible/Unknown,19
09/25/2012,Major Injury,8
09/25/2012,Fatal,1
09/25/2012,Property Damage Only,108
09/26/2012,Possible/Unknown,13
09/26/2012,Minor Injury,19
09/26/2012,Fatal,1
09/26/2012,Property Damage Only,95
09/27/2012,Possible/Unknown,33
09/27/2012,Minor Injury,13
09/27/2012,Fatal,1
09/27/2012,Major Injury,6
09/27/2012,Property Damage Only,98
09/28/2012,Fatal,2
09/28/2012,Major Injury,6
09/28/2012,Possible/Unknown,33
09/28/2012,Property Damage Only,125
09/28/2012,Minor Injury,22
09/29/2012,Minor Injury,14
09/29/2012,Property Damage Only,102
09/29/2012,Possible/Unknown,26
09/29/2012,Major Injury,8
09/29/2012,Fatal,3
09/30/2012,Possible/Unknown,13
09/30/2012,Fatal,1
09/30/2012,Major Injury,5
09/30/2012,Minor Injury,5
09/30/2012,Property Damage Only,74
10/01/2012,Major Injury,3
10/01/2012,Minor Injury,14
10/01/2012,Possible/Unknown,18
10/01/2012,Property Damage Only,87
10/01/2012,Fatal,2
10/02/2012,Minor Injury,12
10/02/2012,Property Damage Only,107
10/02/2012,Possible/Unknown,25
10/02/2012,Fatal,3
10/02/2012,Major Injury,7
10/03/2012,Possible/Unknown,32
10/03/2012,Major Injury,7
10/03/2012,Fatal,3
10/03/2012,Minor Injury,17
10/03/2012,Property Damage Only,116
10/04/2012,Minor Injury,8
10/04/2012,Possible/Unknown,22
10/04/2012,Major Injury,6
10/04/2012,Fatal,1
10/04/2012,Property Damage Only,95
10/05/2012,Property Damage Only,128
10/05/2012,Minor Injury,14
10/05/2012,Possible/Unknown,31
10/05/2012,Major Injury,4
10/06/2012,Possible/Unknown,21
10/06/2012,Major Injury,2
10/06/2012,Property Damage Only,69
10/06/2012,Minor Injury,13
10/07/2012,Property Damage Only,65
10/07/2012,Minor Injury,13
10/07/2012,Major Injury,2
10/07/2012,Possible/Unknown,19
10/08/2012,Property Damage Only,86
10/08/2012,Major Injury,3
10/08/2012,Minor Injury,18
10/08/2012,Possible/Unknown,29
10/09/2012,Possible/Unknown,25
10/09/2012,Property Damage Only,116
10/09/2012,Major Injury,2
10/09/2012,Minor Injury,8
10/10/2012,Major Injury,2
10/10/2012,Minor Injury,12
10/10/2012,Property Damage Only,92
10/10/2012,Possible/Unknown,26
10/11/2012,Fatal,1
10/11/2012,Property Damage Only,83
10/11/2012,Major Injury,3
10/11/2012,Minor Injury,11
10/11/2012,Possible/Unknown,25
10/12/2012,Minor Injury,14
10/12/2012,Fatal,4
10/12/2012,Property Damage Only,115
10/12/2012,Possible/Unknown,32
10/12/2012,Major Injury,9
10/13/2012,Minor Injury,13
10/13/2012,Major Injury,2
10/13/2012,Property Damage Only,94
10/13/2012,Possible/Unknown,22
10/13/2012,Fatal,1
10/14/2012,Property Damage Only,61
10/14/2012,Fatal,1
10/14/2012,Possible/Unknown,11
10/14/2012,Minor Injury,12
10/14/2012,Major Injury,5
10/15/2012,Minor Injury,15
10/15/2012,Possible/Unknown,20
10/15/2012,Property Damage Only,93
10/15/2012,Fatal,2
10/15/2012,Major Injury,5
10/16/2012,Possible/Unknown,17
10/16/2012,Major Injury,3
10/16/2012,Minor Injury,19
10/16/2012,Property Damage Only,102
10/17/2012,Property Damage Only,110
