Date of Crash,Crash Severity,Crashes
02/09/2009,Property Damage Only,105
02/09/2009,Possible/Unknown,14
02/09/2009,Major Injury,2
02/09/2009,Minor Injury,8
02/10/2009,Property Damage Only,94
02/10/2009,Minor Injury,9
02/10/2009,Major Injury,1
02/10/2009,Fatal,1
02/10/2009,Possible/Unknown,14
02/11/2009,Property Damage Only,65
02/11/2009,Possible/Unknown,17
02/11/2009,Major Injury,5
02/11/2009,Minor Injury,4
02/12/2009,Major Injury,1
02/12/2009,Minor Injury,10
02/12/2009,Property Damage Only,90
02/12/2009,Possible/Unknown,23
02/13/2009,Property Damage Only,448
02/13/2009,Minor Injury,39
02/13/2009,Fatal,3
02/13/2009,Major Injury,7
02/13/2009,Possible/Unknown,89
02/14/2009,Fatal,1
02/14/2009,Major Injury,5
02/14/2009,Minor Injury,7
02/14/2009,Property Damage Only,112
02/14/2009,Possible/Unknown,35
02/15/2009,Fatal,1
02/15/2009,Property Damage Only,60
02/15/2009,Minor Injury,11
02/15/2009,Major Injury,1
02/15/2009,Possible/Unknown,12
02/16/2009,Major Injury,4
02/16/2009,Fatal,1
02/16/2009,Minor Injury,6
02/16/2009,Property Damage Only,77
02/16/2009,Possible/Unknown,12
02/17/2009,Possible/Unknown,22
02/17/2009,Minor Injury,9
02/17/2009,Property Damage Only,71
02/17/2009,Major Injury,2
02/18/2009,Major Injury,3
02/18/2009,Possible/Unknown,15
02/18/2009,Minor Injury,4
02/18/2009,Property Damage Only,61
02/19/2009,Possible/Unknown,20
02/19/2009,Major Injury,2
02/19/2009,Property Damage Only,89
02/19/2009,Minor Injury,9
02/20/2009,Possible/Unknown,24
02/20/2009,Major Injury,4
02/20/2009,Property Damage Only,134
02/20/2009,Minor Injury,12
02/21/2009,Minor Injury,16
02/21/2009,Property Damage Only,142
02/21/2009,Fatal,3
02/21/2009,Major Injury,7
02/21/2009,Possible/Unknown,26
02/22/2009,Possible/Unknown,17
02/22/2009,Property Damage Only,68
02/22/2009,Major Injury,2
02/22/2009,Fatal,1
02/22/2009,Minor Injury,11
02/23/2009,Minor Injury,6
02/23/2009,Major Injury,2
02/23/2009,Property Damage Only,79
02/23/2009,Possible/Unknown,27
02/24/2009,Major Injury,4
02/24/2009,Minor Injury,7
02/24/2009,Property Damage Only,81
02/24/2009,Possible/Unknown,21
02/25/2009,Property Damage Only,117
02/25/2009,Possible/Unknown,23
02/25/2009,Major Injury,1
02/25/2009,Fatal,2
02/25/2009,Minor Injury,15
02/26/2009,Major Injury,4
02/26/2009,Property Damage Only,81
02/26/2009,Minor Injury,11
02/26/2009,Possible/Unknown,26
02/26/2009,Fatal,2
02/27/2009,Property Damage Only,112
02/27/2009,Possible/Unknown,19
02/27/2009,Major Injury,4
02/27/2009,Fatal,1
02/27/2009,Minor Injury,14
02/28/2009,Major Injury,4
02/28/2009,Possible/Unknown,18
02/28/2009,Fatal,1
02/28/2009,Minor Injury,14
02/28/2009,Property Damage Only,98
03/01/2009,Minor Injury,4
03/01/2009,Major Injury,3
03/01/2009,Fatal,1
03/01/2009,Possible/Unknown,9
03/01/2009,Property Damage Only,44
03/02/2009,Property Damage Only,78
03/02/2009,Minor Injury,10
03/02/2009,Possible/Unknown,18
03/02/2009,Fatal,3
03/02/2009,Major Injury,1
03/03/2009,Property Damage Only,56
03/03/2009,Minor Injury,9
03/03/2009,Fatal,1
03/03/2009,Major Injury,2
03/03/2009,Possible/Unknown,17
03/04/2009,Property Damage Only,70
03/04/2009,Minor Injury,3
03/04/2009,Major Injury,3
03/04/2009,Fatal,2
03/04/2009,Possible/Unknown,25
03/05/2009,Minor Injury,19
03/05/2009,Possible/Unknown,26
03/05/2009,Major Injury,6
03/05/2009,Property Damage Only,93
03/06/2009,Possible/Unknown,27
03/06/2009,Major Injury,2
03/06/2009,Property Damage Only,98
03/06/2009,Minor Injury,13
03/06/2009,Fatal,3
03/07/2009,Property Damage Only,75
03/07/2009,Major Injury,5
03/07/2009,Possible/Unknown,11
03/07/2009,Minor Injury,8
03/08/2009,Property Damage Only,103
03/08/2009,Minor Injury,12
03/08/2009,Fatal,1
03/08/2009,Major Injury,3
03/08/2009,Possible/Unknown,25
03/09/2009,Property Damage Only,68
03/09/2009,Major Injury,2
03/09/2009,Fatal,2
03/09/2009,Minor Injury,7
03/09/2009,Possible/Unknown,18
03/10/2009,Major Injury,5
03/10/2009,Property Damage Only,114
03/10/2009,Minor Injury,10
03/10/2009,Fatal,2
03/10/2009,Possible/Unknown,20
03/11/2009,Minor Injury,12
03/11/2009,Property Damage Only,77
03/11/2009,Major Injury,3
03/11/2009,Possible/Unknown,23
03/12/2009,Property Damage Only,77
03/12/2009,Possible/Unknown,22
03/12/2009,Major Injury,7
03/12/2009,Minor Injury,9
03/13/2009,Property Damage Only,79
03/13/2009,Minor Injury,8
03/13/2009,Major Injury,2
03/13/2009,Possible/Unknown,15
03/14/2009,Minor Injury,7
03/14/2009,Property Damage Only,78
03/14/2009,Possible/Unknown,27
03/14/2009,Major Injury,5
03/14/2009,Fatal,1
03/15/2009,Property Damage Only,63
03/15/2009,Major Injury,6
03/15/2009,Fatal,2
03/15/2009,Possible/Unknown,14
03/15/2009,Minor Injury,7
03/16/2009,Property Damage Only,77
03/16/2009,Major Injury,5
